facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd
"CHRISTENSEN FARMS MIDWEST, LLC",4877 COUNTY ROAD X,LAMAR,CO,81052,110007391526,112210,37.939811,-102.669711,COB011015,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110007391526,
CHRISTIAN BROTHERS AUTOMOTIVE,3865 KIPLING STREET,WHEAT RIDGE,CO,80033,110070937107,,39.77073,-105.10967,COR411900,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070937107,
CHRISTIAN BROTHERS AUTOMOTIVE DENVER (YAMPA STREET),18309 E. 65TH AVENUE,DENVER,CO,80249,110071850625,,39.814786,-104.773814,COR424837,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071850625,
CHRISTIAN BROTHERS AUTOMOTIVE FOUNTAIN (SYRACUSE),6191 SAWCUT POINT,FOUNTAIN,CO,80817,110071880920,,38.7199,-104.71388,COR425592,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071880920,
CHRISTIAN BROTHERS AUTOMOTIVE LITTLETON (PIERCE),6800 SOUTH PIERCE STREET,LITTLETON,CO,80128,110071662990,,39.5929,-105.07225,COR422626,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071662990,
CHRISTIAN BROTHERS AUTOMOTIVE THORNTON III (WASHINGTON ST),16389 WASHINGTON STREET,THORNTON,CO,80023,110072132152,,39.993548,-104.97837,COR429773,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072132152,
CHROMATIC TECHNOLOGIES INC.,1096 ELKTON DR,COLORADO SPRINGS,CO,80907,110045947393,325910,38.8985,-104.84705,COPIU005L,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110045947393,
CHT RESOURCES - LANDFILL AND COMPOSTING,11289 DOUGHSPOON RD,AUSTIN,CO,81410,110046386549,562910 221320,38.833751,-108.036578,COL901285,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110046386549,
"CHURCH AT THORNTON RD, LLC",GRANT ST (APROX 1000 FT SOUTH) OF E 136TH AVE,THORNTON,CO,80614,110071645486,,39.940099,-104.98609,COR422253,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071645486,
CIDER MILLS ESTATES,940 FEET E OF THE SANTA ANA DR AND S MAPLE ST,FRUITA,CO,81521,110071252517,,39.145074,-108.725655,COR416277,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071252517,
